name,swing precision,swing recall,swing fscore,woba
 Denard Span,0.7556615017878426,0.6462793068297655,0.6967032967032967,0.33
 Jon Lester,0.7837837837837838,0.6170212765957447,0.6904761904761905,0.124
 Asdrubal Cabrera,0.6880733944954128,0.7088846880907372,0.6983240223463687,0.332
 Shane Robinson,0.7171717171717171,0.6574074074074074,0.6859903381642511,0.197
 Max Scherzer,0.7241379310344828,0.7191780821917808,0.7216494845360826,0.244
 Clay Buchholz,0.7954545454545454,0.4268292682926829,0.5555555555555556,0.088
 Clayton Richard,0.6344086021505376,0.6704545454545454,0.6519337016574586,0.159
 Jake Arrieta,0.7037037037037037,0.5428571428571428,0.6129032258064516,0.177
 Charlie Blackmon,0.6956856702619415,0.6596055514974434,0.6771653543307087,0.368
 Gregor Blanco,0.7630853994490359,0.6626794258373205,0.709346991037132,0.254
 Todd Frazier,0.6819875776397516,0.5785036880927292,0.6259977194982896,0.302
 A.J. Ellis,0.8305084745762712,0.5764705882352941,0.6805555555555555,0.325
 Chris Iannetta,0.7863777089783281,0.6864864864864865,0.733044733044733,0.32
 Martin Maldonado,0.665374677002584,0.6645161290322581,0.6649451258876694,0.275
 Robinson Chirinos,0.6762860727728983,0.654126213592233,0.6650215916101171,0.333
 Chris Young,0.7307692307692307,0.6129032258064516,0.6666666666666667,0.268
 Nick Markakis,0.7537643932683791,0.6056939501779359,0.6716653512233622,0.345
 Welington Castillo,0.7188498402555911,0.5813953488372093,0.6428571428571429,0.308
 Erik Kratz,0.7017994858611826,0.6691176470588235,0.6850690087829361,0.278
 Eduardo Nunez,0.6466083150984683,0.7287299630086314,0.6852173913043478,0.292
 Steve Pearce,0.7422222222222222,0.6640159045725647,0.7009443861490032,0.382
 Homer Bailey,0.7142857142857143,0.5833333333333334,0.6422018348623854,0.123
 Lorenzo Cain,0.7514450867052023,0.6388206388206388,0.6905710491367861,0.359
 Andrew McCutchen,0.8066202090592335,0.6206434316353887,0.7015151515151514,0.347
 Austin Jackson,0.7552155771905424,0.642603550295858,0.6943734015345269,0.275
 Justin Upton,0.7506976744186047,0.6487138263665595,0.6959896507115136,0.348
 Cameron Maybin,0.7468152866242038,0.6114732724902217,0.6724014336917564,0.295
 Justin Turner,0.7606382978723404,0.6383928571428571,0.6941747572815533,0.396
 Buster Posey III,0.7092866756393001,0.6474201474201474,0.6769428387925497,0.326
 Jay Bruce,0.698005698005698,0.7596899224806202,0.7275426874536007,0.296
 Joey Votto,0.8333333333333334,0.6685575364667747,0.7419064748201439,0.37
 Colby Rasmus,0.6875,0.717391304347826,0.702127659574468,0.196
 Brett Gardner,0.7001067235859125,0.5281803542673108,0.6021110601193208,0.305
 Eric Young Jr.,0.7603686635944701,0.7112068965517241,0.7349665924276169,0.241
 Matt Joyce,0.7402597402597403,0.7339055793991416,0.7370689655172414,0.299
 Nick Hundley,0.7320261437908496,0.7606112054329371,0.7460449625312239,0.304
 Cliff Pennington,0.6615384615384615,0.6615384615384615,0.6615384615384615,0.205
 Ryan Braun,0.6695331695331695,0.7124183006535948,0.6903103229892337,0.33
 Drew Butera,0.6891025641025641,0.5955678670360111,0.6389301634472511,0.252
 Alex Gordon,0.6847290640394089,0.6550424128180962,0.6695568400770713,0.305
 Chris Gimenez,0.7246376811594203,0.6896551724137931,0.7067137809187279,0.274
 Carlos Gomez,0.6260554885404102,0.8160377358490566,0.7085324232081911,0.285
 Matt Kemp,0.6780219780219781,0.7293144208037825,0.7027334851936219,0.348
 Gio Gonzalez,0.7216494845360825,0.5555555555555556,0.6278026905829597,0.088
 Andrew Romine,0.6346863468634686,0.7020408163265306,0.6666666666666667,0.228
 Elvis Andrus,0.6569987389659521,0.6520650813516896,0.6545226130653267,0.296
 Gregorio Petit,0.6153846153846154,0.64,0.6274509803921569,0.27
 Francisco Cervelli,0.7660550458715596,0.6185185185185185,0.6844262295081966,0.355
 Pedro Florimon,0.75,0.6685714285714286,0.7069486404833837,0.299
 Melky Cabrera,0.6378947368421053,0.658695652173913,0.6481283422459894,0.326
 Pablo Sandoval,0.5849802371541502,0.6393088552915767,0.6109391124871001,0.312
 Wilson Ramos,0.6599241466498104,0.772189349112426,0.7116564417177914,0.361
 Ivan Nova,0.6545454545454545,0.6,0.6260869565217392,0.017
 Carlos Santana,0.7356521739130435,0.6404239212717638,0.6847430190206394,0.333
 Gerardo Parra,0.6785714285714286,0.7456021650879567,0.7105093488072213,0.313
