name,precision,recall,fscore,woba
 Brent Rooker Jr.,0.6935817805383023,0.7298474945533769,0.7112526539278132,0.34
 Jose Abreu,0.6616766467065869,0.6405797101449275,0.6509572901325479,0.282
 Adolis Garcia,0.7422852376980817,0.7142857142857143,0.7280163599182006,0.35
 Gleyber Torres,0.7185374149659864,0.7316017316017316,0.725010725010725,0.346
 Amed Rosario,0.6906729634002361,0.6068464730290456,0.6460519050248481,0.297
 Bo Bichette,0.7373612823674476,0.6334745762711864,0.6814814814814815,0.357
 Ezequiel Tovar,0.7632911392405063,0.5905974534769833,0.6659304251794588,0.308
 Luis Arraez,0.6691176470588235,0.6871628910463862,0.6780202235231505,0.367
 LaMonte Wade Jr.,0.6939890710382514,0.8167202572347267,0.7503692762186117,0.34
 Yandy Diaz,0.7012302284710018,0.7995991983967936,0.7471910112359551,0.389
 Marcell Ozuna,0.7237623762376237,0.7049180327868853,0.7142159257449926,0.374
 DJ LeMahieu,0.6075949367088608,0.765375854214123,0.6774193548387097,0.313
 Triston Casas,0.7118320610687023,0.7762747138397502,0.7426580388252862,0.369
 Bryce Harper,0.8165374677002584,0.6495375128468653,0.7235260446479679,0.375
 Willson Contreras,0.7216721672167217,0.6826222684703434,0.7016042780748664,0.344
 Cal Raleigh,0.7372793354101765,0.693359375,0.7146451937594364,0.33
 Trent Grisham,0.6532663316582915,0.7768924302788844,0.7097361237488626,0.298
 William Contreras,0.6811862835959221,0.7484725050916496,0.7132459970887919,0.355
 Cody Bellinger,0.676923076923077,0.699205448354143,0.6878838637632608,0.383
 Jonathan India,0.6404293381037567,0.796440489432703,0.7099652949925632,0.326
 Thairo Estrada,0.6722797927461139,0.6245487364620939,0.6475358702432938,0.322
 Jose Ramirez,0.7194915254237289,0.7281303602058319,0.7237851662404093,0.34
 Christian Walker,0.7189655172413794,0.7387068201948627,0.72870249017038,0.368
 Julio Rodriguez,0.704183266932271,0.6403985507246377,0.6707779886148008,0.353
 Jeremy Pena,0.7311475409836066,0.6432692307692308,0.6843989769820973,0.312

